id,project_name,transactionNetworkId,userId,currency,amount,amountUSD,createdAt,projectId,score,mbdScore,isBadgeholder,isQfEligible,isSelfDonation
237710551,EVMcrispr,10,Donor 1,OP,1,0.120357,2026-04-23T14:00:45.495Z,1350,8.945,29,FALSE,FALSE,FALSE
237710552,DeFiScan,10,Donor 1,OP,1,0.120357,2026-04-23T14:00:45.503Z,14863,8.945,29,FALSE,FALSE,FALSE
237710554,Verity: Formal Verification for Smart Contracts,100,Donor 2,BRIGHT,2,0.00561324,2026-04-23T14:05:03.878Z,16833,23.723,61,FALSE,TRUE,FALSE
237710556,Dappnode,100,Donor 2,BRIGHT,2,0.00561324,2026-04-23T14:05:03.922Z,2242,23.723,61,FALSE,TRUE,FALSE
237710557,Revoke.cash,100,Donor 2,BRIGHT,2,0.00561324,2026-04-23T14:05:03.931Z,2955,23.723,61,FALSE,TRUE,FALSE
237710558,SEAL 911,100,Donor 2,BRIGHT,2,0.00561324,2026-04-23T14:05:03.935Z,14585,23.723,61,FALSE,TRUE,FALSE
237710559,SEAL 911,137,Donor 3,DAI,5,4.999135,2026-04-23T14:06:07.964Z,14585,0,58,FALSE,TRUE,FALSE
237710560,snekmate,137,Donor 3,DAI,5,4.999135,2026-04-23T14:06:08.103Z,16209,0,58,FALSE,TRUE,FALSE
237710561,Dappnode,137,Donor 3,DAI,5,4.999135,2026-04-23T14:06:08.106Z,2242,0,58,FALSE,TRUE,FALSE
237710562,DeFiScan,137,Donor 4,POL,0.0001,0.00000945,2026-04-23T14:06:10.870Z,14863,2.056,-1,FALSE,FALSE,FALSE
237710564,SEAL 911,42161,Donor 1,USDC,0.002,0.001999598,2026-04-23T14:06:45.771Z,14585,8.945,29,FALSE,FALSE,FALSE
237710565,WebHash,100,Donor 4,GIV,0.5,0.000282185,2026-04-23T14:08:03.608Z,3797,2.056,-1,FALSE,FALSE,FALSE
237710566,CORE3. The open risk layer for Web3,100,Donor 4,GIV,0.5,0.000282185,2026-04-23T14:08:03.664Z,16845,2.056,-1,FALSE,FALSE,FALSE
237710568,ZachXBT,8453,Donor 5,USDC,5,4.998965,2026-04-23T14:10:57.901Z,16822,20.316,2,FALSE,TRUE,FALSE
237710569,Grego AI,8453,Donor 5,USDC,5,4.998965,2026-04-23T14:10:57.965Z,16801,20.316,2,FALSE,TRUE,FALSE
237710570,Cyfrin/Solodit Tooling and Security Research,137,Donor 3,DAI,5,4.999025,2026-04-23T14:19:01.829Z,16923,0,58,FALSE,TRUE,FALSE
237710571,Rekt News - Ethereum's Security Intelligence Layer,42161,Donor 6,USDC,9.98,9.97759482,2026-04-23T14:20:54.514Z,16916,1.032,43,FALSE,FALSE,FALSE
237710572,SEAL Intel,10,Donor 7,GIV,10000,5.648,2026-04-23T14:23:15.528Z,16759,30.479,97,FALSE,TRUE,FALSE
237710573,EVMcrispr,10,Donor 7,GIV,10000,5.6477,2026-04-23T14:23:15.530Z,1350,30.479,97,FALSE,TRUE,FALSE
237710574,DeFiScan,10,Donor 7,GIV,10000,5.648,2026-04-23T14:23:15.532Z,14863,30.479,97,FALSE,TRUE,FALSE
237710575,Unruggable,10,Donor 7,GIV,10000,5.648,2026-04-23T14:23:15.537Z,15000,30.479,97,FALSE,TRUE,FALSE
237710576,Cyfrin Updraft,10,Donor 7,GIV,10000,5.648,2026-04-23T14:23:15.538Z,16920,30.479,97,FALSE,TRUE,FALSE
237710577,Dappnode,10,Donor 7,GIV,10000,5.648,2026-04-23T14:23:15.541Z,2242,30.479,97,FALSE,TRUE,FALSE
237710578,Blobscan,10,Donor 7,GIV,10000,5.648,2026-04-23T14:23:15.539Z,16831,30.479,97,FALSE,TRUE,FALSE
237710579,Etherform,100,Donor 8,WXDAI,18,17.996742,2026-04-23T14:27:17.165Z,16794,0,67,FALSE,TRUE,FALSE
237710581,Assertions.eth On-chain Transaction Guards for Ethereum,10,Donor 9,ETH,0.0005,1.163935,2026-04-23T14:38:22.216Z,16793,0,95,FALSE,TRUE,FALSE
237710582,Revoke.cash,10,Donor 9,ETH,0.0005,1.163935,2026-04-23T14:38:22.235Z,2955,0,95,FALSE,TRUE,FALSE
237710583,CORE3. The open risk layer for Web3,10,Donor 9,ETH,0.0022,5.121314,2026-04-23T14:38:22.257Z,16845,0,95,FALSE,TRUE,FALSE
237710584,Cyfrin/Solodit Tooling and Security Research,10,Donor 9,ETH,0.0005,1.163935,2026-04-23T14:38:22.280Z,16923,0,95,FALSE,TRUE,FALSE
237710585,Blobscan,10,Donor 9,ETH,0.0005,1.163935,2026-04-23T14:38:22.298Z,16831,0,95,FALSE,TRUE,FALSE
237710586,EVMcrispr,10,Donor 9,ETH,0.0022,5.121314,2026-04-23T14:38:22.359Z,1350,0,95,FALSE,TRUE,FALSE
237710587,CypherTalk Podcast: Security Education for Ethereum,137,Donor 3,DAI,5,4.998965,2026-04-23T14:50:53.264Z,16805,0,58,FALSE,TRUE,FALSE
237710588,Verity: Formal Verification for Smart Contracts,42161,Donor 10,ETH,0.0075,17.491125,2026-04-23T14:53:41.220Z,16833,22.554,81,FALSE,TRUE,FALSE
237710589,CrossBar Open Source Security Hardware Wallet,42161,Donor 10,ETH,0.0075,17.491125,2026-04-23T14:53:41.249Z,16940,22.554,81,FALSE,TRUE,FALSE
237710590,"DigiBastion: DNS, OpSec & Supply Chain Security",137,Donor 11,WETH,0.00217,5.0631959,2026-04-23T14:58:05.595Z,16829,0,82,FALSE,TRUE,FALSE
