project_name,donor_number,chain_donated,token,amount,amountUSD,qf_eligible,badgeholder
EVMcrispr,Donor 1,10,OP,1,0.120357,FALSE,FALSE
DeFiScan,Donor 1,10,OP,1,0.120357,FALSE,FALSE
Verity: Formal Verification for Smart Contracts,Donor 2,100,BRIGHT,2,0.00561324,TRUE,FALSE
Dappnode,Donor 2,100,BRIGHT,2,0.00561324,TRUE,FALSE
Revoke.cash,Donor 2,100,BRIGHT,2,0.00561324,TRUE,FALSE
SEAL 911,Donor 2,100,BRIGHT,2,0.00561324,TRUE,FALSE
SEAL 911,Donor 3,137,DAI,5,4.999135,TRUE,FALSE
snekmate,Donor 3,137,DAI,5,4.999135,TRUE,FALSE
Dappnode,Donor 3,137,DAI,5,4.999135,TRUE,FALSE
DeFiScan,Donor 4,137,POL,0.0001,0.00000945,FALSE,FALSE
SEAL 911,Donor 1,42161,USDC,0.002,0.001999598,FALSE,FALSE
WebHash,Donor 4,100,GIV,0.5,0.000282185,FALSE,FALSE
CORE3. The open risk layer for Web3,Donor 4,100,GIV,0.5,0.000282185,FALSE,FALSE
ZachXBT,Donor 5,8453,USDC,5,4.998965,TRUE,FALSE
Grego AI,Donor 5,8453,USDC,5,4.998965,TRUE,FALSE
Cyfrin/Solodit Tooling and Security Research,Donor 3,137,DAI,5,4.999025,TRUE,FALSE
Rekt News - Ethereum's Security Intelligence Layer,Donor 6,42161,USDC,9.98,9.97759482,FALSE,FALSE
SEAL Intel,Donor 7,10,GIV,10000,5.648,TRUE,FALSE
EVMcrispr,Donor 7,10,GIV,10000,5.6477,TRUE,FALSE
DeFiScan,Donor 7,10,GIV,10000,5.648,TRUE,FALSE
Unruggable,Donor 7,10,GIV,10000,5.648,TRUE,FALSE
Cyfrin Updraft,Donor 7,10,GIV,10000,5.648,TRUE,FALSE
Dappnode,Donor 7,10,GIV,10000,5.648,TRUE,FALSE
Blobscan,Donor 7,10,GIV,10000,5.648,TRUE,FALSE
Etherform,Donor 8,100,WXDAI,18,17.996742,TRUE,FALSE
Assertions.eth On-chain Transaction Guards for Ethereum,Donor 9,10,ETH,0.0005,1.163935,TRUE,FALSE
Revoke.cash,Donor 9,10,ETH,0.0005,1.163935,TRUE,FALSE
CORE3. The open risk layer for Web3,Donor 9,10,ETH,0.0022,5.121314,TRUE,FALSE
Cyfrin/Solodit Tooling and Security Research,Donor 9,10,ETH,0.0005,1.163935,TRUE,FALSE
Blobscan,Donor 9,10,ETH,0.0005,1.163935,TRUE,FALSE
EVMcrispr,Donor 9,10,ETH,0.0022,5.121314,TRUE,FALSE
CypherTalk Podcast: Security Education for Ethereum,Donor 3,137,DAI,5,4.998965,TRUE,FALSE
Verity: Formal Verification for Smart Contracts,Donor 10,42161,ETH,0.0075,17.491125,TRUE,FALSE
CrossBar Open Source Security Hardware Wallet,Donor 10,42161,ETH,0.0075,17.491125,TRUE,FALSE
"DigiBastion: DNS, OpSec & Supply Chain Security",Donor 11,137,WETH,0.00217,5.0631959,TRUE,FALSE
EVMcrispr,Donor 11,137,WETH,0.00217,5.0631959,TRUE,FALSE
Echidna: A Fast Smart Contract Fuzzer,Donor 11,137,WETH,0.00217,5.0631959,TRUE,FALSE
yAudit,Donor 11,137,WETH,0.00217,5.0631959,TRUE,FALSE
Tool Against Price Manipulation Attacks in DeFi on EVM,Donor 11,137,WETH,0.00217,5.0631959,TRUE,FALSE
CypherTalk Podcast: Security Education for Ethereum,Donor 11,137,WETH,0.00217,5.0631959,TRUE,FALSE
Web3Sec.News: Security Intelligence & Newsletter,Donor 11,137,WETH,0.00217,5.0631959,TRUE,FALSE
Anticapture by blockful,Donor 11,137,WETH,0.00217,5.0631959,TRUE,FALSE
ECH Institute - EthCatHerders,Donor 11,137,WETH,0.00217,5.0631959,TRUE,FALSE
Tool Against Price Manipulation Attacks in DeFi on EVM,Donor 7,10,GIV,10000,5.6578,TRUE,FALSE
Web3Sec.News: Security Intelligence & Newsletter,Donor 7,10,GIV,10000,5.6578,TRUE,FALSE
SEAL Frameworks,Donor 7,10,GIV,10000,5.6578,TRUE,FALSE
Cyfrin/Solodit Tooling and Security Research,Donor 7,10,GIV,10000,5.6578,TRUE,FALSE
yAudit,Donor 7,10,GIV,10000,5.6578,TRUE,FALSE
Anticapture by blockful,Donor 7,10,GIV,10000,5.6578,TRUE,FALSE
SEAL Certifications,Donor 7,10,GIV,10000,5.6578,TRUE,FALSE
SEAL Safe Harbor,Donor 7,10,GIV,10000,5.6578,TRUE,FALSE
Act,Donor 7,10,GIV,10000,5.6578,TRUE,FALSE
BlockThreat,Donor 7,10,GIV,10000,5.6578,TRUE,FALSE
"DigiBastion: DNS, OpSec & Supply Chain Security",Donor 7,10,GIV,10000,5.6578,TRUE,FALSE
Lights in Dark Rooms,Donor 7,10,GIV,10000,5.6578,TRUE,FALSE
The Web3 OpSec Standard - W3OS,Donor 7,10,GIV,10000,5.6578,TRUE,FALSE
ECH Institute - EthCatHerders,Donor 7,10,GIV,10000,5.6578,TRUE,FALSE
CypherTalk Podcast: Security Education for Ethereum,Donor 7,10,GIV,10000,5.6578,TRUE,FALSE
SEAL 911,Donor 7,100,GIV,10000,5.6577,TRUE,FALSE
Safe Multisig Transaction Hashes,Donor 7,100,GIV,10000,5.6577,TRUE,FALSE
Revoke.cash,Donor 7,100,GIV,10000,5.6577,TRUE,FALSE
snekmate,Donor 7,100,GIV,10000,5.6577,TRUE,FALSE
Act,Donor 12,10,USDGLO,5,5.005,TRUE,FALSE
Recon Invariant Testing Extension & Framework,Donor 12,10,USDGLO,2,2.002,TRUE,FALSE
SEAL Frameworks,Donor 12,10,USDGLO,2,2.002,TRUE,FALSE
PlankEVM,Donor 12,10,USDGLO,2,2.002,TRUE,FALSE
